xflr5 v6.57

Plane name :        elevator+10
Polar name :        T1-100.0 m/s-VLM1
Freestream speed : 100.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.308222   0.007597   0.006200   0.013797  -0.000000   0.000000  -0.017740  -0.000000  -0.000000  100.0000    -0.0829
   -9.000     0.000  -0.239356   0.005144   0.005928   0.011072   0.000000   0.000000  -0.036229  -0.000000  -0.000000  100.0000    -0.2169
   -8.000     0.000  -0.170248   0.003309   0.005638   0.008947   0.000000   0.000000  -0.054792   0.000000   0.000000  100.0000    -0.4596
   -7.000     0.000  -0.100951   0.002101   0.005359   0.007461   0.000000   0.000000  -0.073406   0.000000   0.000000  100.0000    -1.0356
   -6.000     0.000  -0.031519   0.001527   0.005089   0.006616   0.000000   0.000000  -0.092049  -0.000000  -0.000000  100.0000    -4.1507
   -5.000     0.000   0.037993   0.001591   0.004829   0.006420   0.000000   0.000000  -0.110699  -0.000000  -0.000000  100.0000     4.1340
   -4.000     0.000   0.107530   0.002295   0.004579   0.006875   0.000000   0.000000  -0.129331   0.000000   0.000000  100.0000     1.7042
   -3.000     0.000   0.177038   0.003642   0.004369   0.008011   0.000000   0.000000  -0.147924   0.000000   0.000000  100.0000     1.1827
   -2.000     0.000   0.246461   0.005629   0.004437   0.010066   0.000000  -0.000000  -0.166456   0.000000   0.000000  100.0000     0.9553
   -1.000     0.000   0.315745   0.008254   0.004758   0.013012   0.000000  -0.000000  -0.184910   0.000000   0.000000  100.0000     0.8280
    0.000     0.000   0.384837   0.011512   0.005188   0.016700  -0.000000  -0.000000  -0.203263   0.000000   0.000000  100.0000     0.7467
    1.000     0.000   0.453680   0.015395   0.005517   0.020912  -0.000000  -0.000000  -0.221492   0.000000   0.000000  100.0000     0.6903
    2.000     0.000   0.522222   0.019895   0.005832   0.025727  -0.000000  -0.000000  -0.239576  -0.000000  -0.000000  100.0000     0.6490
    3.000     0.000   0.590410   0.025001   0.006198   0.031200  -0.000000   0.000000  -0.257494  -0.000000  -0.000000  100.0000     0.6175
    4.000     0.000   0.658191   0.030701   0.006577   0.037278  -0.000000  -0.000000  -0.275223   0.000000   0.000000  100.0000     0.5927
    5.000     0.000   0.725513   0.036979   0.006934   0.043913  -0.000000  -0.000000  -0.292742   0.000000   0.000000  100.0000     0.5727
    6.000     0.000   0.792325   0.043821   0.007309   0.051130  -0.000000  -0.000000  -0.310030   0.000000  -0.000000  100.0000     0.5563
    7.000     0.000   0.858578   0.051207   0.007674   0.058881   0.000000  -0.000000  -0.327064   0.000000   0.000000  100.0000     0.5426
    8.000     0.000   0.924221   0.059118   0.008045   0.067163  -0.000000  -0.000000  -0.343825   0.000000   0.000000  100.0000     0.5311
    9.000     0.000   0.989209   0.067533   0.008434   0.075967  -0.000000  -0.000000  -0.360294   0.000000   0.000000  100.0000     0.5214
   10.000     0.000   1.053493   0.076429   0.008838   0.085266  -0.000000  -0.000000  -0.376449   0.000000   0.000000  100.0000     0.5130
   11.000     0.000   1.117029   0.085781   0.009270   0.095051  -0.000000  -0.000000  -0.392273   0.000000  -0.000000  100.0000     0.5058
   12.000     0.000   1.179772   0.095564   0.009721   0.105285  -0.000000  -0.000000  -0.407746   0.000000   0.000000  100.0000     0.4995
   13.000     0.000   1.241681   0.105750   0.010206   0.115956   0.000000  -0.000000  -0.422851  -0.000000  -0.000000  100.0000     0.4941
   14.000     0.000   1.302715   0.116311   0.010758   0.127068  -0.000000  -0.000000  -0.437572  -0.000000  -0.000000  100.0000     0.4894
   15.000     0.000   1.362833   0.127216   0.011322   0.138538  -0.000000  -0.000000  -0.451889  -0.000000  -0.000000  100.0000     0.4852
   16.000     0.000   1.422000   0.138436   0.011909   0.150345  -0.000000  -0.000000  -0.465784  -0.000000  -0.000000  100.0000     0.4816
   17.000     0.000   1.480179   0.149938   0.012562   0.162500  -0.000000  -0.000000  -0.479245  -0.000000  -0.000000  100.0000     0.4785
   18.000     0.000   1.537335   0.161689   0.013351   0.175040   0.000000  -0.000000  -0.492264   0.000000  -0.000000  100.0000     0.4758
   19.000     0.000   1.593438   0.173654   0.014289   0.187943   0.000000  -0.000000  -0.504828  -0.000000  -0.000000  100.0000     0.4734
   20.000     0.000   1.648457   0.185801   0.015302   0.201102  -0.000000  -0.000000  -0.516917   0.000000  -0.000000  100.0000     0.4714
   21.000     0.000   1.702364   0.198092   0.016403   0.214495  -0.000000  -0.000000  -0.528519   0.000000  -0.000000  100.0000     0.4697
   22.000     0.000   1.755132   0.210493   0.017672   0.228165  -0.000000  -0.000000  -0.539633  -0.000000  -0.000000  100.0000     0.4682
   23.000     0.000   1.806738   0.222966   0.019187   0.242153   0.000000  -0.000000  -0.550256   0.000000   0.000000  100.0000     0.4670
   24.000     0.000   1.857159   0.235475   0.021111   0.256586  -0.000000  -0.000000  -0.560405   0.000000  -0.000000  100.0000     0.4660


