xflr5 v6.57

Plane name :        elevator-10
Polar name :        T1-100.0 m/s-VLM1
Freestream speed : 100.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -1.862389   0.251946   0.020136   0.272082  -0.000000  -0.000000   0.541870   0.000000   0.000000  100.0000     0.4874
  -24.000     0.000  -1.848354   0.251331   0.024255   0.275586  -0.000000  -0.000000   0.540502  -0.000000   0.000000  100.0000     0.4865
  -23.000     0.000  -1.800540   0.238479   0.021686   0.260165  -0.000000  -0.000000   0.531139   0.000000   0.000000  100.0000     0.4873
  -22.000     0.000  -1.751528   0.225638   0.019688   0.245326   0.000000  -0.000000   0.521355  -0.000000   0.000000  100.0000     0.4883
  -21.000     0.000  -1.701337   0.212847   0.018055   0.230902  -0.000000  -0.000000   0.511121   0.000000   0.000000  100.0000     0.4896
  -20.000     0.000  -1.649989   0.200142   0.016612   0.216754  -0.000000   0.000000   0.500423  -0.000000  -0.000000  100.0000     0.4912
  -19.000     0.000  -1.597510   0.187561   0.015338   0.202900  -0.000000  -0.000000   0.489271   0.000000   0.000000  100.0000     0.4930
  -18.000     0.000  -1.543925   0.175141   0.014152   0.189293  -0.000000   0.000000   0.477667   0.000000   0.000000  100.0000     0.4952
  -17.000     0.000  -1.489263   0.162917   0.013156   0.176073  -0.000000  -0.000000   0.465633   0.000000   0.000000  100.0000     0.4977
  -16.000     0.000  -1.433555   0.150924   0.012373   0.163297  -0.000000  -0.000000   0.453183  -0.000000  -0.000000  100.0000     0.5007
  -15.000     0.000  -1.376833   0.139197   0.011676   0.150873  -0.000000  -0.000000   0.440318  -0.000000  -0.000000  100.0000     0.5041
  -14.000     0.000  -1.319131   0.127769   0.011033   0.138802  -0.000000  -0.000000   0.427048  -0.000000  -0.000000  100.0000     0.5079
  -13.000     0.000  -1.260486   0.116673   0.010417   0.127089  -0.000000  -0.000000   0.413389  -0.000000  -0.000000  100.0000     0.5124
  -12.000     0.000  -1.200936   0.105939   0.009908   0.115846  -0.000000  -0.000000   0.399362  -0.000000  -0.000000  100.0000     0.5175
  -11.000     0.000  -1.140521   0.095597   0.009434   0.105031  -0.000000  -0.000000   0.384979   0.000000   0.000000  100.0000     0.5234
  -10.000     0.000  -1.079281   0.085677   0.008976   0.094653  -0.000000  -0.000000   0.370252  -0.000000  -0.000000  100.0000     0.5302
   -9.000     0.000  -1.017259   0.076206   0.008561   0.084767   0.000000  -0.000000   0.355203  -0.000000  -0.000000  100.0000     0.5381
   -8.000     0.000  -0.954501   0.067209   0.008158   0.075366  -0.000000   0.000000   0.339848   0.000000   0.000000  100.0000     0.5472
   -7.000     0.000  -0.891051   0.058711   0.007765   0.066475  -0.000000  -0.000000   0.324204  -0.000000  -0.000000  100.0000     0.5578
   -6.000     0.000  -0.826957   0.050735   0.007385   0.058119  -0.000000  -0.000000   0.308292   0.000000   0.000000  100.0000     0.5704
   -5.000     0.000  -0.762267   0.043302   0.007003   0.050305   0.000000  -0.000000   0.292129   0.000000   0.000000  100.0000     0.5853
