xflr5 v6.57

Plane name :        elevator
Polar name :        T1-100.0 m/s-VLM1
Freestream speed : 100.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.684492   0.031176   0.006581   0.037758  -0.000000   0.000000   0.179021  -0.000000  -0.000000  100.0000     0.3749
   -9.000     0.000  -0.617572   0.025376   0.006324   0.031700   0.000000   0.000000   0.161734  -0.000000  -0.000000  100.0000     0.3744
   -8.000     0.000  -0.550173   0.020137   0.006117   0.026254   0.000000   0.000000   0.144255  -0.000000  -0.000000  100.0000     0.3739
   -7.000     0.000  -0.482346   0.015476   0.005924   0.021400   0.000000   0.000000   0.126603  -0.000000  -0.000000  100.0000     0.3734
   -6.000     0.000  -0.414144   0.011408   0.005722   0.017130   0.000000   0.000000   0.108799  -0.000000  -0.000000  100.0000     0.3730
   -5.000     0.000  -0.345617   0.007945   0.005545   0.013490   0.000000   0.000000   0.090864   0.000000   0.000000  100.0000     0.3727
   -4.000     0.000  -0.276820   0.005096   0.005383   0.010479   0.000000   0.000000   0.072821   0.000000  -0.000000  100.0000     0.3724
   -3.000     0.000  -0.207806   0.002872   0.005232   0.008104   0.000000   0.000000   0.054692  -0.000000  -0.000000  100.0000     0.3722
   -2.000     0.000  -0.138628   0.001278   0.005121   0.006399   0.000000   0.000000   0.036497  -0.000000  -0.000000  100.0000     0.3721
   -1.000     0.000  -0.069341   0.000320   0.005063   0.005382  -0.000000   0.000000   0.018259  -0.000000  -0.000000  100.0000     0.3720
    0.000     0.000   0.000000   0.000000   0.005024   0.005024   0.000000   0.000000   0.000000  -0.000000   0.000000  100.0000     0.0000
    1.000     0.000   0.069341   0.000320   0.005063   0.005382  -0.000000  -0.000000  -0.018259  -0.000000  -0.000000  100.0000     0.3720
    2.000     0.000   0.138628   0.001278   0.005121   0.006399   0.000000  -0.000000  -0.036497  -0.000000  -0.000000  100.0000     0.3721
    3.000     0.000   0.207806   0.002872   0.005232   0.008104   0.000000  -0.000000  -0.054692  -0.000000  -0.000000  100.0000     0.3722
    4.000     0.000   0.276820   0.005096   0.005383   0.010479   0.000000  -0.000000  -0.072821  -0.000000  -0.000000  100.0000     0.3724
    5.000     0.000   0.345617   0.007945   0.005545   0.013490   0.000000  -0.000000  -0.090864  -0.000000   0.000000  100.0000     0.3727
    6.000     0.000   0.414144   0.011408   0.005722   0.017130   0.000000  -0.000000  -0.108799  -0.000000  -0.000000  100.0000     0.3730
    7.000     0.000   0.482346   0.015476   0.005924   0.021400   0.000000  -0.000000  -0.126603   0.000000  -0.000000  100.0000     0.3734
    8.000     0.000   0.550173   0.020137   0.006117   0.026254   0.000000  -0.000000  -0.144255  -0.000000  -0.000000  100.0000     0.3739
    9.000     0.000   0.617572   0.025376   0.006324   0.031700   0.000000  -0.000000  -0.161734  -0.000000  -0.000000  100.0000     0.3744
   10.000     0.000   0.684492   0.031176   0.006581   0.037757  -0.000000  -0.000000  -0.179021  -0.000000  -0.000000  100.0000     0.3749
   11.000     0.000   0.750884   0.037521   0.006841   0.044363   0.000000  -0.000000  -0.196092   0.000000   0.000000  100.0000     0.3756
   12.000     0.000   0.816700   0.044391   0.007148   0.051539   0.000000  -0.000000  -0.212930  -0.000000  -0.000000  100.0000     0.3763
   13.000     0.000   0.881890   0.051764   0.007485   0.059249  -0.000000  -0.000000  -0.229514  -0.000000  -0.000000  100.0000     0.3770
   14.000     0.000   0.946410   0.059619   0.007835   0.067454   0.000000  -0.000000  -0.245822   0.000000   0.000000  100.0000     0.3778
   15.000     0.000   1.010213   0.067931   0.008250   0.076181   0.000000  -0.000000  -0.261839  -0.000000  -0.000000  100.0000     0.3787
   16.000     0.000   1.073256   0.076674   0.008688   0.085362   0.000000  -0.000000  -0.277542  -0.000000  -0.000000  100.0000     0.3796
   17.000     0.000   1.135498   0.085822   0.009105   0.094927   0.000000  -0.000000  -0.292910  -0.000000  -0.000000  100.0000     0.3806
   18.000     0.000   1.196896   0.095346   0.009530   0.104876   0.000000  -0.000000  -0.307928  -0.000000  -0.000000  100.0000     0.3816
   19.000     0.000   1.257413   0.105217   0.010004   0.115221  -0.000000  -0.000000  -0.322579  -0.000000  -0.000000  100.0000     0.3827
   20.000     0.000   1.317010   0.115404   0.010577   0.125981  -0.000000  -0.000000  -0.336851  -0.000000  -0.000000  100.0000     0.3838
   21.000     0.000   1.375653   0.125876   0.011213   0.137088   0.000000  -0.000000  -0.350723  -0.000000  -0.000000  100.0000     0.3850
   22.000     0.000   1.433306   0.136599   0.011871   0.148471  -0.000000  -0.000000  -0.364176   0.000000   0.000000  100.0000     0.3863
   23.000     0.000   1.489939   0.147541   0.012523   0.160065  -0.000000  -0.000000  -0.377193  -0.000000  -0.000000  100.0000     0.3876
   24.000     0.000   1.545521   0.158668   0.013189   0.171857  -0.000000  -0.000000  -0.389760  -0.000000  -0.000000  100.0000     0.3890
   25.000     0.000   1.600024   0.169943   0.013887   0.183831  -0.000000  -0.000000  -0.401864  -0.000000  -0.000000  100.0000     0.3904


