xflr5 v6.57

Plane name :        fin+10
Polar name :        T1-100.0 m/s-VLM1
Freestream speed : 100.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -0.600719   0.080971   0.007043   0.088013  -0.077386  -0.159633   0.035950   0.001382   0.003076  100.0000     0.1466
  -24.000     0.000  -0.571061   0.072968   0.006902   0.079870  -0.071575  -0.150760   0.029336   0.001033   0.002692  100.0000     0.1248
  -23.000     0.000  -0.540736   0.065254   0.006754   0.072009  -0.065934  -0.141863   0.022601   0.000700   0.002321  100.0000     0.1006
  -22.000     0.000  -0.509770   0.057858   0.006615   0.064473  -0.060470  -0.132946   0.015754   0.000380   0.001965  100.0000     0.0737
  -21.000     0.000  -0.478190   0.050806   0.006480   0.057286  -0.055188  -0.124009   0.008803   0.000074   0.001625  100.0000     0.0433
  -20.000     0.000  -0.446026   0.044123   0.006353   0.050476  -0.050096  -0.115055   0.001756  -0.000216   0.001302  100.0000     0.0086
  -19.000     0.000  -0.413308   0.037835   0.006221   0.044056  -0.045200  -0.106085  -0.005378  -0.000488   0.000998  100.0000    -0.0315
  -18.000     0.000  -0.380068   0.031964   0.006087   0.038050  -0.040506  -0.097101  -0.012592  -0.000739   0.000713  100.0000    -0.0786
  -17.000     0.000  -0.346339   0.026532   0.005948   0.032480  -0.036019  -0.088106  -0.019876  -0.000968   0.000449  100.0000    -0.1350
  -16.000     0.000  -0.312156   0.021559   0.005809   0.027368  -0.031745  -0.079099  -0.027221  -0.001176   0.000207  100.0000    -0.2037
  -15.000     0.000  -0.277554   0.017066   0.005672   0.022738  -0.027689  -0.070084  -0.034618  -0.001362  -0.000014  100.0000    -0.2897
  -14.000     0.000  -0.242568   0.013069   0.005518   0.018587  -0.023856  -0.061061  -0.042060  -0.001520  -0.000211  100.0000    -0.4007
  -13.000     0.000  -0.207238   0.009585   0.005362   0.014947  -0.020252  -0.052033  -0.049536  -0.001653  -0.000384  100.0000    -0.5500
  -12.000     0.000  -0.171600   0.006628   0.005212   0.011840  -0.016879  -0.043000  -0.057037  -0.001762  -0.000532  100.0000    -0.7617
  -11.000     0.000  -0.135694   0.004211   0.005079   0.009290  -0.013742  -0.033964  -0.064553  -0.001851  -0.000655  100.0000    -1.0862
  -10.000     0.000  -0.099559   0.002346   0.004946   0.007292  -0.010846  -0.024926  -0.072076  -0.001914  -0.000752  100.0000    -1.6477
