xflr5 v6.57

Plane name :        fin
Polar name :        T1-100.0 m/s-VLM1
Freestream speed : 100.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -25.000     0.000  -0.777720   0.139976   0.006671   0.146646  -0.077218  -0.213475   0.135849   0.004833   0.006425  100.0000     0.4307
  -24.000     0.000  -0.753126   0.130688   0.006584   0.137273  -0.071523  -0.205241   0.131775   0.004431   0.005998  100.0000     0.4281
  -23.000     0.000  -0.727802   0.121524   0.006503   0.128027  -0.066005  -0.196966   0.127542   0.004031   0.005578  100.0000     0.4256
  -22.000     0.000  -0.701765   0.112511   0.006417   0.118928  -0.060670  -0.188654   0.123154   0.003640   0.005164  100.0000     0.4231
  -21.000     0.000  -0.675033   0.103679   0.006323   0.110002  -0.055524  -0.180307   0.118617   0.003261   0.004759  100.0000     0.4208
  -20.000     0.000  -0.647626   0.095054   0.006234   0.101288  -0.050574  -0.171927   0.113937   0.002889   0.004363  100.0000     0.4186
  -19.000     0.000  -0.619566   0.086663   0.006158   0.092821  -0.045825  -0.163515   0.109120   0.002524   0.003978  100.0000     0.4165
  -18.000     0.000  -0.590875   0.078533   0.006078   0.084611  -0.041284  -0.155073   0.104171   0.002172   0.003605  100.0000     0.4146
  -17.000     0.000  -0.561579   0.070688   0.005996   0.076685  -0.036957  -0.146604   0.099096   0.001834   0.003244  100.0000     0.4127
  -16.000     0.000  -0.531701   0.063154   0.005920   0.069073  -0.032847  -0.138109   0.093902   0.001508   0.002899  100.0000     0.4109
  -15.000     0.000  -0.501271   0.055952   0.005845   0.061797  -0.028961  -0.129590   0.088594   0.001197   0.002568  100.0000     0.4093
  -14.000     0.000  -0.470315   0.049106   0.005770   0.054876  -0.025303  -0.121048   0.083179   0.000903   0.002254  100.0000     0.4077
  -13.000     0.000  -0.438864   0.042636   0.005694   0.048331  -0.021877  -0.112486   0.077664   0.000626   0.001957  100.0000     0.4063
