xflr5 v6.57

Plane name :        plane_wing
Polar name :        T1-100.0 m/s-LLT
Freestream speed : 100.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -15.000     0.000  -0.980600   0.029967   0.010818   0.040784   0.000000   0.000000  -0.107991   0.000000   0.000000  100.0000    -0.2608
  -14.000     0.000  -0.887604   0.024757   0.009886   0.034643   0.000000   0.000000  -0.108673   0.000000   0.000000  100.0000    -0.2844
  -13.000     0.000  -0.794995   0.019862   0.009011   0.028873   0.000000   0.000000  -0.109446   0.000000   0.000000  100.0000    -0.3143
  -12.000     0.000  -0.701278   0.015463   0.008286   0.023749   0.000000   0.000000  -0.110312   0.000000   0.000000  100.0000    -0.3538
  -11.000     0.000  -0.606765   0.011585   0.007678   0.019263   0.000000   0.000000  -0.111250   0.000000   0.000000  100.0000    -0.4070
  -10.000     0.000  -0.511698   0.008248   0.007118   0.015366   0.000000   0.000000  -0.112261   0.000000   0.000000  100.0000    -0.4819
   -9.000     0.000  -0.416074   0.005463   0.006649   0.012113   0.000000   0.000000  -0.113331   0.000000   0.000000  100.0000    -0.5937
   -8.000     0.000  -0.320083   0.003242   0.006248   0.009491   0.000000   0.000000  -0.114448   0.000000   0.000000  100.0000    -0.7722
   -7.000     0.000  -0.223787   0.001594   0.005904   0.007498   0.000000   0.000000  -0.115607   0.000000   0.000000  100.0000    -1.1176
   -6.000     0.000  -0.127251   0.000522   0.005612   0.006134   0.000000   0.000000  -0.116804   0.000000   0.000000  100.0000    -2.0567
   -5.000     0.000  -0.030579   0.000033   0.005376   0.005409   0.000000   0.000000  -0.118022   0.000000   0.000000  100.0000    -4.2850
   -4.000     0.000   0.066048   0.000128   0.005214   0.005342   0.000000   0.000000  -0.119239   0.000000   0.000000  100.0000     5.1030
   -3.000     0.000   0.162656   0.000806   0.005101   0.005906   0.000000  -0.000000  -0.120463   0.000000   0.000000  100.0000     1.5974
   -2.000     0.000   0.259133   0.002064   0.005042   0.007106   0.000000  -0.000000  -0.121675   0.000000   0.000000  100.0000     0.9853
   -1.000     0.000   0.355469   0.003902   0.005016   0.008919   0.000000  -0.000000  -0.122884   0.000000   0.000000  100.0000     0.7206
    0.000     0.000   0.451561   0.006313   0.005034   0.011347   0.000000  -0.000000  -0.124068   0.000000   0.000000  100.0000     0.5701
    1.000     0.000   0.547392   0.009293   0.005078   0.014371   0.000000  -0.000000  -0.125236   0.000000   0.000000  100.0000     0.4715
    2.000     0.000   0.643155   0.012844   0.005106   0.017950   0.000000  -0.000000  -0.126423   0.000000   0.000000  100.0000     0.4025
    3.000     0.000   0.738428   0.016947   0.005167   0.022114   0.000000  -0.000000  -0.127569   0.000000   0.000000  100.0000     0.3514
    4.000     0.000   0.832103   0.021542   0.005381   0.026923   0.000000  -0.000000  -0.128497   0.000000   0.000000  100.0000     0.3120
    5.000     0.000   0.923114   0.026545   0.005907   0.032452   0.000000  -0.000000  -0.128911   0.000000   0.000000  100.0000     0.2790
    6.000     0.000   1.012956   0.031976   0.006544   0.038520   0.000000  -0.000000  -0.129007   0.000000   0.000000  100.0000     0.2515
    7.000     0.000   1.100224   0.037776   0.007248   0.045025   0.000000  -0.000000  -0.128548   0.000000   0.000000  100.0000     0.2277
    8.000     0.000   1.185968   0.043914   0.007917   0.051832   0.000000  -0.000000  -0.127575   0.000000   0.000000  100.0000     0.2064
    9.000     0.000   1.272702   0.050587   0.008584   0.059171   0.000000  -0.000000  -0.126891   0.000000   0.000000  100.0000     0.1878
   10.000     0.000   1.358977   0.057700   0.009308   0.067007   0.000000  -0.000000  -0.126207   0.000000   0.000000  100.0000     0.1712
   11.000     0.000   1.443670   0.065156   0.010058   0.075214   0.000000  -0.000000  -0.125241   0.000000   0.000000  100.0000     0.1559
   12.000     0.000   1.525928   0.072852   0.010873   0.083725   0.000000  -0.000000  -0.123816   0.000000   0.000000  100.0000     0.1415
   13.000     0.000   1.604946   0.080674   0.011769   0.092443   0.000000  -0.000000  -0.121767   0.000000   0.000000  100.0000     0.1277
   14.000     0.000   1.677563   0.088279   0.012803   0.101082   0.000000  -0.000000  -0.118405   0.000000   0.000000  100.0000     0.1137
   15.000     0.000   1.740431   0.095260   0.014051   0.109311   0.000000  -0.000000  -0.113093   0.000000   0.000000  100.0000     0.0989
   16.000     0.000   1.797396   0.101838   0.015681   0.117519   0.000000  -0.000000  -0.107054   0.000000   0.000000  100.0000     0.0842
   17.000     0.000   1.851440   0.108299   0.017697   0.125995   0.000000  -0.000000  -0.101231   0.000000   0.000000  100.0000     0.0705
   18.000     0.000   1.899664   0.114305   0.020333   0.134637   0.000000  -0.000000  -0.095282   0.000000   0.000000  100.0000     0.0573
   19.000     0.000   1.941041   0.119721   0.023701   0.143422   0.000000  -0.000000  -0.089223   0.000000   0.000000  100.0000     0.0445
   20.000     0.000   1.976521   0.124543   0.027874   0.152417   0.000000  -0.000000  -0.083441   0.000000   0.000000  100.0000     0.0324
   21.000     0.000   2.004599   0.128637   0.033187   0.161823   0.000000  -0.000000  -0.078132   0.000000   0.000000  100.0000     0.0211
   22.000     0.000   2.022985   0.131720   0.040100   0.171820   0.000000  -0.000000  -0.073521   0.000000   0.000000  100.0000     0.0107
   23.000     0.000   2.030046   0.133665   0.049040   0.182705   0.000000  -0.000000  -0.070053   0.000000   0.000000  100.0000     0.0016
   24.000     0.000   2.023141   0.134150   0.060563   0.194713   0.000000  -0.000000  -0.068157   0.000000   0.000000  100.0000    -0.0057


