xflr5 v6.57

Plane name :        plane_wing
Polar name :        T1-100.0 m/s-VLM1
Freestream speed : 100.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -21.000     0.000  -1.436335   0.059170   0.017553   0.076723   0.000000  -0.000000  -0.110682  -0.000000  -0.000000  100.0000    -0.1792
  -20.000     0.000  -1.354414   0.052784   0.015830   0.068614   0.000000  -0.000000  -0.110665   0.000000   0.000000  100.0000    -0.1906
  -19.000     0.000  -1.271713   0.046677   0.014318   0.060995   0.000000  -0.000000  -0.110640  -0.000000   0.000000  100.0000    -0.2035
  -18.000     0.000  -1.188274   0.040870   0.012976   0.053846   0.000000  -0.000000  -0.110606   0.000000   0.000000  100.0000    -0.2183
  -17.000     0.000  -1.104139   0.035383   0.011849   0.047232   0.000000  -0.000000  -0.110563   0.000000   0.000000  100.0000    -0.2353
  -16.000     0.000  -1.019352   0.030235   0.010926   0.041161   0.000000  -0.000000  -0.110512  -0.000000  -0.000000  100.0000    -0.2553
  -15.000     0.000  -0.933956   0.025443   0.010119   0.035563   0.000000  -0.000000  -0.110453   0.000000   0.000000  100.0000    -0.2790
  -14.000     0.000  -0.847998   0.021024   0.009342   0.030366   0.000000  -0.000000  -0.110385  -0.000000  -0.000000  100.0000    -0.3075
  -13.000     0.000  -0.761524   0.016993   0.008646   0.025639   0.000000  -0.000000  -0.110310  -0.000000  -0.000000  100.0000    -0.3426
  -12.000     0.000  -0.674581   0.013364   0.008073   0.021437   0.000000  -0.000000  -0.110226  -0.000000  -0.000000  100.0000    -0.3869
  -11.000     0.000  -0.587218   0.010151   0.007543   0.017694   0.000000  -0.000000  -0.110134  -0.000000  -0.000000  100.0000    -0.4445
  -10.000     0.000  -0.499483   0.007365   0.007065   0.014430   0.000000  -0.000000  -0.110035  -0.000000  -0.000000  100.0000    -0.5224
   -9.000     0.000  -0.411426   0.005016   0.006652   0.011668   0.000000  -0.000000  -0.109927  -0.000000   0.000000  100.0000    -0.6338
   -8.000     0.000  -0.323096   0.003113   0.006294   0.009408   0.000000  -0.000000  -0.109812  -0.000000  -0.000000  100.0000    -0.8063
